English,Vietnamese
,"Kết quả: Trong số 142 bệnh nhân Covid-19 được chỉ định phẫu thuật cấp cứu, 31% chưa tiêm vắc xin, 20 bệnh nhân (14,1%) không có triệu chứng, 6 bệnh nhân (4,2%) nặng, 5 bệnh nhân có triệu chứng nguy kịch (3,5%)."
,"Tỷ lệ ASA I, II lần lượt là 74,6% và 14,1%."
,"Tổn thương trên X-quang phổi: không có tổn thương 55,6%, nhẹ 28,9%, trung bình 8,5% và nặng 7%."
,"Phẫu thuật sản phụ khoa chiếm 70,4%."
,"Sau phẫu thuật, tỷ lệ bệnh nhân thở oxy tự do là 76,1%, thở HFNC là 18,3%, và cần thở máy ngoài 24 giờ chiếm 5,6%."
,Thực trạng công tác chăm sóc stress của điều dưỡng tại Bệnh viện Nhi Thái Bình năm 2019
,Mô tả thực trạng stress của điều dưỡng tại Bệnh viện Nhi Thái Bình năm 2019.
,"Đối tượng và phương pháp nghiên cứu: Thiết kế nghiên cứu cắt ngang mô tả, đối tượng nghiên cứu là 145 điều dưỡng tại Bệnh viện Nhi Thái Bình, đối tượng tự điền thông tin về tình trạng stress theo thang đo Expanded Nursing Stress Scale."
,"Mức độ stress được chia thành 03 nhóm: thấp, trung bình, cao."
,Kết quả: Điều dưỡng trong nhóm nghiên cứu có mức độ stress thấp.
,"Thấp nhất là khi có các vấn đề liên quan đến cấp trên (SD  1,52  0,16) (thiếu sự hỗ trợ từ các lãnh đạo khác, xung đột với điều dưỡng chính của bạn), các vấn đề liên quan đến đồng nghiệp điều dưỡng (SD  1,54  0,12) (Kém làm việc với điều dưỡng đa giới, Thiếu cơ hội chia sẻ kinh nghiệm và cảm giác với đồng nghiệp trong khoa học)."
,Điều trị trĩ nội chảy máu bằng phương pháp thắt vòng cao su qua nội soi mềm
,"Kết quả cho thấy, có thể áp dụng phác đồ hoá chất giảm nhẹ bước 1 trên bệnh nhân ung thư dạ dày giai đoạn tiến xa có KPS  70%."
,"Kết quả: Tuổi trung bình của bệnh nhân là 54,9; nam / nữ là 2,5 2/1."
,"Triệu chứng lâm sàng thường gặp nhất là đau thượng vị 81,3%."
,"KPS 80-90% gặp ở hầu hết bệnh nhân (93,3%)."
,"Vị trí ung thư hay gặp nhất là hang môn vị (61,9%)."
,"58,2% bệnh nhân có di căn xa, trong đó gan là vị trí thường gặp nhất."
,"Tỷ lệ đáp ứng toàn bộ, đáp ứng một phần, đáp ứng hoàn toàn lần lượt là 49,2%, 42,5%, 6,7%."
,Đánh giá kiến thức về thuốc kháng đông của bệnh nhân sử dụng thuốc đối kháng vitamin K và các yếu tố liên quan
,"Mục đích của nghiên cứu này là đánh giá hiệu quả, biến chứng lâm sàng của phương pháp điều trị bảo tồn không phẫu thuật cho các trường hợp chấn thương sọ não độ I, II và III bằng phương pháp thắt vòng cao su qua nội soi."
,"Đối tượng và phương pháp nghiên cứu: 34 bệnh nhân tuổi trung bình 45,7 được phẫu thuật ERBL với sự hỗ trợ của nội soi dạ dày và bộ găng tay cao su đàn hồi điều trị giãn tĩnh mạch thực quản. Tất cả bệnh nhân được theo dõi và đánh giá hiệu quả kỹ thuật và biến chứng lâm sàng."
,"Kết quả: Có 61 bệnh nhân trĩ độ I, 10 bệnh nhân trĩ độ II và 8 bệnh nhân trĩ độ III."
,"Tất cả các bệnh nhân đều có chảy máu hậu môn, trong đó 4 bệnh nhân (19%) có biểu hiện ngứa kéo dài và 10 bệnh nhân (47,6%) có biểu hiện sa hậu môn."
,"Kết luận: Thắt trĩ bằng dây cao su bằng phương pháp nội soi ống mềm là phương pháp khả thi, an toàn và hiệu quả trong điều trị trĩ có triệu chứng."
,"Tình trạng sa sút trí tuệ và các yếu tố liên quan ở người cao tuổi tại xã Bình Thành, huyện Đức Huệ, tỉnh Long An năm 2019"
,Thuốc đối kháng vitamin K (VKAs) hiện đang được sử dụng rộng rãi để điều trị và dự phòng thuyên tắc huyết khối.
,"Tuy nhiên, biến chứng liên quan đến việc sử dụng VKAs là một trong những nguyên nhân dẫn đến nhập viện thường xuyên."
,"Trong khi đó, kiến thức của người bệnh về VKAs có ảnh hưởng đến hiệu quả và tính an toàn của điều trị."
,"Do đó, chúng tôi tiến hành nghiên cứu này với hai mục tiêu: Mô tả thực trạng kiến thức và phân tích một số yếu tố liên quan của người bệnh sử dụng VKAs tại Viện Tim mạch Quốc gia Việt Nam."
,"Nghiên cứu được tiến hành trên 132 bệnh nhân, 53% nam và 36% nữ; tuổi trung bình là 59,12; trẻ nhất là 19 tuổi và lớn nhất là 89 tuổi."
,"Điểm trung bình AKT (Anticoagulation Knowledge Tool) là 9,58  5,045, trong đó 70% bệnh nhân có kiến thức kém, chỉ có 1% có kiến thức tốt."
,"Kiến thức kém có liên quan đến trình độ học vấn và thời gian sử dụng VKAs với p  0,05."
,Kiến thức của người bệnh về VKAs trong nghiên cứu này chưa đủ để đảm bảo hiệu quả và an toàn trong điều trị.
,"Đặc điểm thực vật, mã vạch DNA và hoạt tính dược lý của lá cây Sauropus spatulifolius Beille"
,Sa sút trí tuệ là một trong những nguyên nhân chính gây tàn tật và phụ thuộc chức năng ở người cao tuổi.
,Người có chất lượng giấc ngủ kém có tỷ lệ sa sút trí tuệ cao hơn người có chất lượng giấc ngủ tốt.
,"Hiện chưa có biện pháp điều trị sa sút trí tuệ, vì vậy các biện pháp phòng ngừa và phát hiện sớm bệnh được ưu tiên hàng đầu, đặc biệt là ở những vùng xa và cách xa nơi tiếp cận dịch vụ y tế còn hạn chế."
,"Nghiên cứu này nhằm mô tả thực trạng sa sút trí tuệ và các yếu tố liên quan đến sa sút trí tuệ ở người cao tuổi tại xã Bình Thành, huyện Đức Huệ, tỉnh Long An năm 2019."
,Nghiên cứu mô tả cắt ngang trên 342 người cao tuổi ( 60 tuổi).
,"Thông tin được thu thập thông qua thang đo MiniCog và bộ câu hỏi soạn sẵn về đặc điểm dân số xã hội, thói quen sinh hoạt và chất lượng giấc ngủ."
,Kết quả cho thấy tỷ lệ sa sút trí tuệ ở người cao tuổi là 33%.
,"Tỷ lệ người cao tuổi có chất lượng giấc ngủ kém là 78,1%."
,Tỷ lệ sa sút trí tuệ tăng dần theo tuổi.
,"Khi trình độ học vấn, tần suất tập thể dục và tần suất tham gia các hoạt động xã hội tăng lên, tỷ lệ sa sút trí tuệ giảm."
,Nghiên cứu đa hình gen CYP3A5 ở người Kinh Việt Nam
,"Cam thảo (ưỡi nhân) đã được sử dụng trong y học dân gian để điều trị viêm phế quản cấp, ho và đau họng, triệu chứng viêm và ung thư ... nhưng chưa có nhiều báo cáo khoa học."
,"Mục tiêu: Khảo sát đặc điểm thực vật, mã vạch D.A của Cam sũng để định danh thực vật chính xác và đánh giá một số hoạt tính dược lý của cao chiết từ lá Sen."
,Đối tượng và phương pháp nghiên cứu: Các mẫu thu thập từ tỉnh An Giang (04/2019) được mô tả đặc điểm hình thái và giải phẫu; phân tích mã vạch ADN chloroplast trên vùng ITS.
,"Hoạt tính chống oxy hoá được đánh giá bằng xét nghiệm DPPH, kháng khuẩn được đánh giá trên 5 loài vi khuẩn gây bệnh bằng phương pháp khuếch tán thạch; hoạt tính kháng viêm được đánh giá bằng sản xuất Nitric Oxide trong phương pháp đại thực bào RAW 264.7."
,Kết quả: Cam sũng (ưỡi nhân) được xác định là Sauropus spatulifolius Beille dựa trên đặc điểm hình thái và mã vạch DNA.
,"Cao cồn 50% của lá thể hiện hoạt tính chống oxy hoá cao nhất với IC50  20,76 g / ml, phân đoạn EtOAc và nước từ cao cồn 50% có hoạt tính kháng khuẩn nhẹ, phân đoạn EtOAc cho hoạt tính kháng viêm tốt với IC50  12,05 g / mL."
,"Kết luận: Nghiên cứu khẳng định tên khoa học ""Cam sũng"" ở Việt Nam là auropus spatulifolius Beille (Euphorbiaceae)."
,Kết quả thử nghiệm sinh học đã đánh giá được các ứng dụng của cây này.
,Ứng dụng vạt tự do trong tạo hình khuyết hổng sau phẫu thuật cắt đầu và ung thư tại Bệnh viện K
,"Cytochrome P450 3A5 (CYP) thuộc nhóm CYP3A, mã hoá cho một số enzym tham gia vào quá trình chuyển hoá của các loại thuốc khác nhau, chất nền nội sinh cũng như các hợp chất ngoại sinh."
,"Trong 4 gen của cụm CY3A, CYP3A5 đóng vai trò quan trọng trong dược sinh học vì enzyme này chuyển hoá trên 30% các thuốc được kê đơn trên lâm sàng."
,Sự thay đổi giữa các cá thể trong việc thanh thải chất nền CYP3A chủ yếu phụ thuộc vào các yếu tố di truyền.
,"Kết quả cho thấy gen CYP3A 5*3 là biến thể phổ biến nhất với 67,5%, trong đó một nửa số người mang gen * 3 là đồng hợp tử cho alen này."
,"Ngược lại, các biến thể * 6, * 8 và * 9 không tìm thấy đối tượng nghiên cứu."
,Các dữ liệu được quan sát trong nghiên cứu hiện tại sẽ hỗ trợ việc sử dụng các thuốc được chuyển hoá bởi CYP3A5 và do đó làm tăng kết quả điều trị.
,Hoại tử xương hàm do bisphosphonate: Báo cáo hai trường hợp
,Đánh giá kết quả sử dụng vạt tự do trong tạo hình khuyết hổng sau cắt ung thư đầu cổ tại Bệnh viện Răng Hàm Mặt Trung ương Hà Nội.
,"Đối tượng và phương pháp nghiên cứu: Nghiên cứu hồi cứu, cắt ngang trên 255 bệnh nhân được chẩn đoán ung thư đầu cổ được điều trị bằng phẫu thuật cắt bỏ khối u và tái tạo tức thì bằng vạt tự do tại bệnh viện Chợ Rẫy từ 2012  2022."
,Kết quả: 255 vạt tự do được sử dụng để tái tạo mô sau phẫu thuật cắt bỏ ung thư vùng đầu cổ.
,"Trong đó có 134 vạt xương mác, 99 vạt cánh tay ngoài, 17 vạt đùi trước ngoài và 5 trường hợp sử dụng phức hợp vạt xương mác - đùi trước ngoài trong tạo hình khuyết hổng sau cắt ung thư."
,"Kết luận: Sử dụng vạt da tự do mềm có thể phục hồi chức năng và thẩm mỹ của vùng hàm mặt, cải thiện chất lượng cuộc sống của bệnh nhân trong điều trị ung thư đầu cổ."
,"Tỷ lệ, đặc điểm, yếu tố nguy cơ và ảnh hưởng của tổn thương thận cấp ở bệnh nhân Covid-19 mức độ nặng và nguy kịch"
,"Hoại tử xương hàm là một biến chứng của điều trị loãng xương bằng bisphosphonate, có thể gây ra những vấn đề nghiêm trọng cho bệnh nhân."
,"Đây là một biến chứng hiếm gặp với các triệu chứng và dấu hiệu không đặc hiệu, do đó khó chẩn đoán ở giai đoạn sớm."
,"Do đó, dẫn đến tình trạng hoại tử xương hàm nặng và cần phẫu thuật tại Bệnh viện Đại học Y Hà Nội, chúng tôi có 2 bệnh nhân được chẩn đoán hoại tử xương hàm do bisphosphonate đường uống, cả hai bệnh nhân đều được phẫu thuật lấy xương chết và cho kết quả tốt."
,Động lực làm việc của điều dưỡng chăm sóc người bệnh Covid-19 và một số yếu tố liên quan tại Bệnh viện Đa khoa Đức Giang năm 2022
,"Nghiên cứu này nhằm mô tả đặc điểm và xác định tỉ lệ, các yếu tố nguy cơ và tác động của tổn thương thận cấp ở bệnh nhân COVID-19 nặng và nguy kịch."
,"Kết luận: TTTC thường gặp ở bệnh nhân COVID-19 nặng và nguy kịch và có liên quan đến tăng mức độ nặng của bệnh, kéo dài thời gian nằm viện và tỷ lệ tử vong cao hơn."
,"Tỷ lệ TTTC là 59,8%, trong đó giai đoạn 2 là 13,8% và giai đoạn 3 là 23,6%."
,Chỉ số cytokine và sử dụng colistin có liên quan độc lập với sự xuất hiện TTTC.
,Mô hình xác định các yếu tố ảnh hưởng đến xuất khẩu gạo của Việt Nam: Từ phương pháp tiếp cận bên nhu cầu
,Mô tả động lực làm việc của điều dưỡng chăm sóc người bệnh COVID-19 và một số yếu tố liên quan tại Bệnh viện Đa khoa Đức Giang năm 2022.
,"Đối tượng và phương pháp nghiên cứu: Mô tả cắt ngang, trên 93 điều dưỡng trực tiếp chăm sóc người bệnh COVID-19, được thực hiện từ tháng 1 đến tháng 3 năm 2022 tại Bệnh viện Đa khoa Đức Giang."
,"Kết quả: Tỷ lệ điều dưỡng có động lực làm việc cao là 73,1%."
,"Có mối liên quan giữa giới tính, tuổi, thu nhập hàng tháng, sự quan tâm của người quản lý, sự quản lý và sự ổn định, an toàn công việc ghi nhận với thành tích và động lực làm việc của điều dưỡng (p  0,05)."
,Kết luận: Động lực làm việc của điều dưỡng chăm sóc người bệnh COVID-19 tại Bệnh viện Đa khoa Đức Giang khá cao.
,Bệnh viện cần có biện pháp duy trì và thúc đẩy động lực làm việc của điều dưỡng trên cơ sở kết quả nghiên cứu để nâng cao chất lượng bệnh viện.
,"Đa dạng cây thuốc ở khu bảo tồn thiên nhiên Kon Chu Rang, tỉnh Gia Lai"
,"Trong thời gian nghiên cứu từ năm 2017-2018 tại Khu bảo tồn thiên nhiên Kon Chu Rang, chúng tôi đã xác định được 357 loài cây thuốc thuộc 290 chi, 111 họ, 4 chi của các loài thực vật có nguồn gốc mạch máu là: Equisetophyta, Polypodiophyta, Pinophyta và Magnoliophyta."
